,text
152,"On 3 Jan not only did the #US kill #Soleimani but also a powerful #Iraqi Militia Leader, further destabilising… https://t.co/IfWRMRfJbV"
153,"Recommended reading on #Soleimani strike.

 ""In addition to #Soleimani &amp; #Shahlai, #Trump ""also authorized the bomb… https://t.co/1AGR6MHgEj"
154,‘Defeating #Israel and #ISIS’: #Palestinians Remember General #Soleimani in #Gaza &amp; on Social Media… https://t.co/vXlU4VhSrH
155,"Well, with all the #fakenews bonanza running about in the weeks following #Soleimani assasination, it seems that ev… https://t.co/hIkvXXwpNL"
156,"@JubinRoss So Obama made the same mistake by killing Bin-laden?! I know you sis, khayyeh, but sometimes I think you… https://t.co/sOvDFzdm2V"
157,"Rep. Mast answers questions by Foreign Affairs Committee about executing #Soleimani 
https://t.co/ar7VufcwyE"
158,@ErdalCollins Soleimani was a terrorist and a threat to US and by consequences  to Canada. No doubt there. The lega… https://t.co/ew1gQJCiH4
159,"Nuremberg prosecutor @BenFerencz condemns US terror attack on Iran’s General Soleimani

#Iran #US #Soleimani… https://t.co/5vfp2dc9S8"
160,"He already has murdered someone under the guise of ""our public interest"". #Soleimani https://t.co/XVnBxangKV"
161,@realDonaldTrump What about the health of US troops after Iran missile strike? When will you reveal the full conseq… https://t.co/zRDixDcQ5g
162,"Non Sectarian #Muslim

              Soldier of Prophet Mohammad sa

                Fearless Defender of Humanity… https://t.co/nps1cESKuh"
163,"Nuremberg prosecutor @BenFerencz condemns US terror attack on Iran’s General Soleimani

#Iran #US #Soleimani… https://t.co/ciAWTrkWRW"
164,How that 🌍 war 3 against Itan turn out?  Asking for a friend #WWIIl #Iran #Soleimani
165,"#Iran appears to have hit back hard after 

#Trump's illegal hit on General #Soleimani 
in #Iraq. 

Trump said ther… https://t.co/Szk39AOORe"
166,"Y’all need to signal boost this shit. 

CBP’s policy of detention based on religious affiliation — SUSPECTED religi… https://t.co/dVXJT7LSFC"
167,@David67845265 He looks like a supporter of #Soleimani and #JimmyCarter https://t.co/HYI6HdpgSD
168,"@realDonaldTrump WE realy realy HATE you
Wait for us every where and every time ""WE"" want😊
We are #Soleimani army✌"
169,Israeli Analysts: #US ‘Gave #Israel Advance Notice’ of Assassination Plot against #Soleimani… https://t.co/kLnzTYQhYB
170,"Tonight’s discussion: @JohnBrennan on The Killing of Qasem Soleimani
and Consequences for Iran, Iraq and Beyond. Jo… https://t.co/KoSmcaYA8O"
171,"Oh no 3 Islamic terrorists trapped in a bus in #nagrota, my sympathies with @khanumarfa @_sabanaqvi @RanaAyyub… https://t.co/jSci2HIJMs"
172,"@KarmelMelamed @vafairman Are they slow burning flags, lol? This iranian regime are islamic terrorists &amp; they've al… https://t.co/2cNIKskmhp"
173,citizens including women &amp; children. she mocked @realDonaldTrump for not bringing that up at his recent Rally in Ne… https://t.co/qcH4PNKt15
174,"@realDonaldTrump #TrumpRallyIA 

#Soleimani - ""He took a hard hit.""
Oh, I can't!  🤣Sometimes the anons are too blunt!"
175,"We're now up to 64 US troops injured when 45 provoked retaliation from #Iran for killing #Soleimani. Calling it ""mi… https://t.co/ZJh3OfGGbj"
176,Todd Bensman (@BensmanTodd): #IRGC-supported operatives are stationed in cities across the U.S. and Latin America.… https://t.co/s80L0h2iOG
177,@GOP @realDonaldTrump And how many service members were injured during Trump’s assassination of #Soleimani? Headach… https://t.co/T1OVSm9kSy
