,text
121,"US Deaths from Dec. 29, 2019 - Now:

Coronavirus - 1

Parchman - 21

#Parchman #Coronavirus @teamroc #Rocnation… https://t.co/jBw91mLmzb"
122,@Back_dafucup Omg! My niece is in the hospital with pneumonia in Fla. They aren't testing for #coronavirus !!!!!😷🙏
123,#coronavirus #uk .. what could the next months deliver ? 80% of the population could be infected… https://t.co/gTyokFCcMc
124,"Clear, concise &amp; v informative info on COVID-19 #coronavirus by @CillianDeGascun https://t.co/YKjLj6XRZU"
125,"GG India on tackling #Coronavirus 👏 //

How India has largely remained immune to coronavirus https://t.co/ptkxc88Ar6"
126,"Risk of global coronavirus spread 'very high' warns WHO as China situation stabilizes 
#coronavirus #covid2019… https://t.co/Q6RjPeUDC5"
127,Seattle area patient with #coronavirus dies- the CDC has acknowledged 3 cases of community spread (no international… https://t.co/yPTTEdo78j
128,"#coronavirus #coronavirususa 

This is important. https://t.co/w1yLuysP17"
129,@realDonaldTrump And you go straight into being a LIAR.  You need to be providing Americans with FACTS not your dem… https://t.co/e0HS5mewkj
130,"#coronavirus For obvious reasons, everyone should record all interactions with others, along with time and place."
131,.@SecPompeo became a hostile witness to our own Government when asked by @tedlieu if he thought the #coronavirus wa… https://t.co/07WtcWKMsC
132,How #DeanKoontz #predicted in 1981 that #pneumonia-like #illness will #emerge in #Wuhan #China in 2020 &amp; then… https://t.co/JhHFKdBmrx
133,the first person to die from the #coronavirus is from king county... so long my friends.
134,"This means oxygen gets excited by 60Ghz 5G radiation What does that do to Oxygen in our bodies?
The fact supports t… https://t.co/1dXUvOewTc"
135,"@MikeBloomberg No, you lie.

Trump not call the #coronavirus a hoax. 

He called the Democrats' criticisms of the a… https://t.co/3HWRvNmS02"
136,"With the #coronavirus in full swing.   Remember not to touch shared items.  These include gas pump handles, shoppin… https://t.co/sb9AbPCGKW"
137,Israel Makes Potential Breakthrough in Race for Coronavirus Vaccine | American Center for Law and Justice… https://t.co/K3ArTUDViD
138,Info about #CORONAVIRUS from CDC https://t.co/XkgXbzvjfd
139,Kudos to @statnews for providing free #coronavirus #COVID19 coverage on their website- great service to educate the… https://t.co/6pWXNZvQTA
140,"First US death from #coronavirus confirmed in Washington state, according to health officials  https://t.co/ranRVfqjEk"
141,"@ZubyMusic Well the #Coronavirus is real at least.
The climate cult on the other hand..."
142,@LouiseRawAuthor @brightonborn #LiarJohnson is scared of catching #coronavirus so is hiding away in the #Fridge
143,"what an abominable and dangerous individual https://t.co/g18kHVJE7w
#coronavirus"
144,BREAKING: The first death from #coronavirus now confirmed in the United States. WA Gov Jay Inslee said in a stateme… https://t.co/9wYZo458ew
145,#coronavirus ask Italy China should we worry well? Ask them the fake Christian the pope even has it. The real famil… https://t.co/2sZupVpXgp
146,"@DrOz Why shouldn’t people wear masks? 

Doctors wear them when interacting with very sick patients correct? 

I do… https://t.co/4dH2LCIwkJ"
147,How difficult would it be to quarantine people who plan to travel out of affected countries for about two weeks aft… https://t.co/xbXotCk4AQ
148,"A person in Washington state has died of #coronavirus, health officials there confirm — marking the… https://t.co/whSRM64E9z"
149,So many countries can only respond to #coronavirus by locking down. Meanwhile USA is working in real-time to combat… https://t.co/yQamaIWRtg
150,"The first US death from coronavirus has occurred. According to statistics from both China and Italy, the death rate… https://t.co/yweKojbGgQ"
151,"Looking forward to the clarity, carefully calibrated language and rational response we have come to expect from Nor… https://t.co/orvHO3nXWX"
152,"President Trump Delivers Remarks https://t.co/VWicCg7HEg via @YouTube

#COVID19 #coronavirus"
153,"#Ecuador🇪🇨 confirms first coronavirus case. 
https://t.co/zfaqGoZiE1

#COVID_19 #COVID19
#SARSCoV2 #SARS_CoV_2… https://t.co/E1EAafDzhB"
154,I hope @CDCemergency @CDCgov r checking to see if these #USA “unknown origin” #coronavirus ppl rec’vd any shipments… https://t.co/dAFFAO6tCJ
155,"Already on the livestream of the President's speech and there are reporters coofing nonstop.. 
I think reporters ar… https://t.co/hI5k2TnQdK"
156,"fuck every single healthcare denying, science rejecting republican who made this happen. the blood is, and will be,… https://t.co/yPJTouQUe5"
157,Perfect for your #CoronaVirus quarantine. 😎 https://t.co/ZTfIXDbXiJ
158,I have an idea for @realDonaldTrump ‘s problems with the #coronavirus. This could help his campaign and the stock m… https://t.co/bVKnajk34R
159,Person in Washington State First in US to Die From New Virus  #coronavirus #COVID19 https://t.co/CNBTj0gCaO
160,@alexthe62637750 This is NOT okay but it is par for the course in trump world. His uneducated (his word) lap up wha… https://t.co/O6WhMDwZ7C
161,"President Trump is about to speak on the #coronavirus. Join us on our @discordapp server to discuss the updates.
https://t.co/xcxIhOqsCG"
