,text
120,"Kumba @BuschGardens really is a beautiful piece of art! 

By far one of the best coasters in Florida! We can’t wait to ride it again once the park reopens! 🎢🎢

#coronavirus #CoronavirusOutbreak https://t.co/nhzCmweZV8"
121,"@RepMattGaetz @NextRevFNC @SteveHiltonx @realDonaldTrump @FoxNews Will @mattgaetz address Trump’s attempts to profiteer from the #coronavirus crisis?
https://t.co/2OWDRS7HdQ"
122,"When all of this is over (and in case you need reassuring, it will be over at some point in the future) ... keep washing your hands people 

#justsaying #personalhygiene #covid-19 #coronavirus #thistooshallpass"
123,".@BernieSanders asks what happens to the low-wage workers who lose their jobs because of the #coronavirus, the moderators stop him short.

Time for @McDonalds to do the right thing: https://t.co/pmdk3Ob3J7 #DemDebate https://t.co/oCXVmRfc1A"
124,Why is @JoeBiden not hitting Trump with every single answer on #Coronavirus? #DemDebate
125,"@kylegriffin1 The Left is talking about the lack of diversity on his task force and how calling the #coronavirus by where it originated is racist.

You have zero reason to criticize what Trump talks about."
126,#BREAKING: #CDC recommends halting gatherings of 50 people or more throughout the U.S. for next eight weeks. (@washingtonpost)  #coronavirus
127,"For any Fox viewers considering heading out to the restaurant tonight per Devin Numbskull Nunes dangerously irresponsible advice. The science behind social distancing ⬇️

Why outbreaks like #coronavirus spread exponentially, &amp; how to “flatten the curve” https://t.co/sO0HAOUFNf"
128,"Indeed. There is a lot of misinformation out there, because the onset of #COVID19 is both a #publichealth crisis, and a #healthcommunication crisis. 

Both parts need be understood and addressed. #Coronavirus #DemDebate https://t.co/cWCkLMo63N"
129,@PeteKaliner Still waiting for the moderators to ask Biden &amp; Sanders have they had a #coronavirus test yet? #DemDebate
130,Beautiful evening here in Jensen. Calm before the storm?#jensenbeach #coronavirus #772living @ Pineapple Jacks Bistro https://t.co/x1EotcJ435
131,"My son with #autism works in a workshop, but may have to stay home due to the #coronavirus.  His sister just drafted the first icons for his home schedule. https://t.co/vJ5hbYpOhA"
