,text
96,"As late as #cyrilramaphosa was, you can’t deny the fact that he did a much better job than #trump did addressing the nation.

#LOCKSOUTHAFRICADOWN #StayHome #iFightCorona #Coronavirussouthafrica #CoronavirusInSA #CoronaOutbreak"
97,"Biden is suffering from dementia, Bernie is a communist and Trump is the greatest President the United States has ever had.
#Trump 2020

Trump Leads Both Biden And Sanders In Iowa https://t.co/DyJQh65UXN"
98,"Trump says won't cut social security, Dems will
#Trump #Biden
https://t.co/ZNlPVa7Jos"
99,"#realDonaldTrump #QAnon  people are going to wake up, no more sheep @realDonaldTrump going to go down in history books. #COVID19  another attempt to get #Trump out of office? They are scared the #GreatAwakening is coming. 0pen your eyes.The time is at hand. #Trump2020Landslide."
100,#Biden is a much as A #Racist AS #Trump=#TrumpLite! #RacistJoe #JoeTrump #NeverBiden #BlackLivesMatter #BernieBeatsTrump #Bernie2020 #GreenNewDeal Not more of #JoesWars OR #Racism! Hey Joy Read that letter &amp; Tell Me U STILL Support #Biden? #VotedForBernie #AZ #FL #OH #IL @AFSCME https://t.co/iO3NoIwD36 https://t.co/jQpmzgBhXe
101,Next step out of this systematic crash is to quarantine the entire United States. Once that shoe drops and it will the world will see its first depression in modern history. After all the lies and delays to cover up the Coronavirus by the Trump admin be aware #trump #quarantine
102,"@realDonaldTrump #trump keeps talking about #Biden because he's afraid to run against
#Bernie. Trumps a lot of things but he's not dumb. Fools promoting Biden &amp; his obvious cognitive decline. It's just tragic for the #USA 🇺🇸 #BernieWon #BidenLosesToTrump"
103,#Trump is to be re-elected this year for four more years and as someone standing outside the box looking in approach because I love my country &amp; freedoms I do see the obvious media attention Trump gets vs Obama had. When&amp;where did Obama get called irresponsible in news or social?
104,"I can’t make money.
How can I pay for my mortgage and bills?
#deBlasio #Cuomo #Trump #CoronavirusOutbreak #cnn #StayHome"
105,"@ezraklein We have ""Cloud Computing"" and ""Cloud Storage"" -it's happening, somewhere, but you can't see it. The #Trump 'administration' does 'Cloud-Cuckoo Government' -they talk a lot about issues, but you know there's NO SUBSTANCE.

#VOTE2020"
106,Biden also had no idea what virus we are currently dealing with. DNC continues to push an elderly man with obvious dementia to be president. #CIA #trump  #BidensCognitiveDecline https://t.co/4qppQKQsRz
107,"This #Trump perception of how markets work should give #US real insight into his total lack of “grasp” of economics and the human fear instinct. He has no business being a #POTUS. He can’t scapegoat #Powell either, but we will watch how he starts his blame game for this week. https://t.co/lnp3AytcJz"
108,"@Acosta @marketman52 ""Tremendous control"", when uttered by #Trump, means ""We are bullshitting our way through this"". #WorstPresidentEver."
109,@SethAbramson @LisaLouClark #Biden said nothing truthful. He’s a bigger liar than #Trump
110,"#Trump #TrumpCrash #vote
Let Us ALL Remember the endless Corruption! I will NEVER FORGET! https://t.co/oSWGVjHrd9"
111,@realDonaldTrump leaving his press conference 😐 @cnnbrk @CNN #TrumpPlague #CNNDebate #Trump #TrumpIsTheWORSTPresidentEVER #ShutItDown #CoronaVirusUpdates #CoronavirusOutbreak #BREAKING https://t.co/nTeX0j9QlX
112,#America has learned a lot about #Trump (opinion) - CNN https://t.co/kihV7WCKZC
113,"#Trump looking to ban domestic air travel this week. 

#CoronaVirusUpdates #travel #airtravel https://t.co/NdSeOFzRKG"
114,"""Unidentified #German government source [said] #Trump was trying to secure scientists’ work exclusively, and would do anything to get a vaccine for the #UnitedStates, 'but only for the United States'. N.B. #China's already offered to share any vaccine it discovers with the world. https://t.co/wiXiMRA0bz"
115,"@realDonaldTrump The only reason @realDonaldTrump wanted to be President was to get rich and make the wealthy richer- #TrumpCrash 

He needed to step up when the #pandemic #COVIDー19 began. HE FAILED MISERABLY 

He’s nothing but a con man who lies &amp; was impeached

#WorstPresidentEver 
#Trump"
